Title,UID,Authors,Pub_Year,PMCID,DOI,Data_availability_statement,Metabolomics,Primary_study,Statement_classification,Data_sharing_class,Raw_data,Repository,Accession_number,Link,Clinical_human_study,Notes
Use of the Analysis of the Volatile Faecal Metabolome in Screening for Colorectal Cancer.,26086914,"Batty CA, Cauchi M, Lourenco C, Hunter JO, Turner C",2015,PMC4472922,10.1371/journal.pone.0130301,All relevant data are within the paper and Supporting Information files.,1,1,A,2,0,,,,1,
Profiling the Oxylipin and Endocannabinoid Metabolome by UPLC-ESI-MS/MS in Human Plasma to Monitor Postprandial Inflammation.,26186333,"Gouveia-Figueira S, Spath J, Zivkovic AM, Nording ML",2015,PMC4506044,10.1371/journal.pone.0132042,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
The Metabolome in Finnish Carriers of the MYBPC3-Q1061X Mutation for Hypertrophic Cardiomyopathy.,26267065,"Jorgenrud B, Jalanko M, Helio T, Jaaskelainen P, Laine M, Hilvo M, Nieminen MS, Laakso M, Hyotylainen T, Oresic M, Kuusisto J",2015,PMC4534205,10.1371/journal.pone.0134184,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,1,
Dynamic Metabolite Profiling in an Archaeon Connects Transcriptional Regulation to Metabolic Consequences.,26284786,"Todor H, Gooding J, Ilkayeva OR, Schmid AK",2015,PMC4540570,10.1371/journal.pone.0135693,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Longitudinal Metabolomics Profiling of Parkinson's Disease-Related _-Synuclein A53T Transgenic Mice.,26317866,"Chen X, Xie C, Sun L, Ding J, Cai H",2015,PMC4552665,10.1371/journal.pone.0136612,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Intensive DNA Replication and Metabolism during the Lag Phase in Cyanobacteria.,26331851,"Watanabe S, Ohbayashi R, Kanesaki Y, Saito N, Chibazakura T, Soga T, Yoshikawa H",2015,PMC4558043,10.1371/journal.pone.0136800,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Lipidomic Analysis of Chlamydomonas reinhardtii under Nitrogen and Sulfur Deprivation.,26375463,"Yang D, Song D, Kind T, Ma Y, Hoefkens J, Fiehn O",2015,PMC4574153,10.1371/journal.pone.0137948,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Metabolomic Profiling of 13 Diatom Cultures and Their Adaptation to Nitrate-Limited Growth Conditions.,26440112,"Bromke MA, Sabir JS, Alfassi FA, Hajarah NH, Kabli SA, Al-Malki AL, Ashworth MP, Meret M, Jansen RK, Willmitzer L",2015,PMC4595471,10.1371/journal.pone.0138965,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Differential Metabolic Profiles during the Albescent Stages of 'Anji Baicha' (Camellia sinensis).,26444680,"Li CF, Yao MZ, Ma CL, Ma JQ, Jin JQ, Chen L",2015,PMC4622044,10.1371/journal.pone.0139996,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
The Metabolomic Profile of Spent Culture Media from Day-3 Human Embryos Cultured under Low Oxygen Tension.,26562014,"de Los Santos MJ, Gamiz P, de Los Santos JM, Romero JL, Prados N, Alonso C, Remohi J, Dominguez F",2015,PMC4643011,10.1371/journal.pone.0142724,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,1,
Plasma Metabolic Profiles in Women are Menopause Dependent.,26580805,"Ke C, Hou Y, Zhang H, Yang K, Wang J, Guo B, Zhang F, Li H, Zhou X, Li Y, Li K",2015,PMC4651324,10.1371/journal.pone.0141743,Our metabolomics data can be found in the supporting information files.,1,1,A,2,0,,,,1,
Metabolic Characterization of the Common Marmoset (Callithrix jacchus).,26581102,"Go YM, Liang Y, Uppal K, Soltow QA, Promislow DE, Wachtman LM, Jones DP",2015,PMC4651467,10.1371/journal.pone.0142916,The critical data set are included as supplemental data (see S1 Table).,1,1,A,2,0,,,,0,
Exploring the Saccharomyces cerevisiae Volatile Metabolome: Indigenous versus Commercial Strains.,26600152,"Alves Z, Melo A, Figueiredo AR, Coimbra MA, Gomes AC, Rocha SM",2015,PMC4657929,10.1371/journal.pone.0143641,All relevant data are within the paper in the Supporting Information files (full data set was added).,1,1,A,2,0,,,,0,
Metabolomic Responses of Guard Cells and Mesophyll Cells to Bicarbonate.,26641455,"Misra BB, de Armas E, Tong Z, Chen S",2015,PMC4671721,10.1371/journal.pone.0144206,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Chronic Intake of Japanese Sake Mediates Radiation-Induced Metabolic Alterations in Mouse Liver.,26752639,"Nakajima T, Vares G, Wang B, Nenoi M",2016,PMC4713437,10.1371/journal.pone.0146730,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Metabolites in Blood for Prediction of Bacteremic Sepsis in the Emergency Room.,26800189,"Kauppi AM, Edin A, Ziegler I, Molling P, Sjostedt A, Gylfe Å, Strëlin K, Johansson A",2016,PMC4723089,10.1371/journal.pone.0147670,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,1,
Global Metabolic Responses to Salt Stress in Fifteen Species.,26848578,"Sevin DC, Stahlin JN, Pollak GR, Kuehne A, Sauer U",2016,PMC4743995,10.1371/journal.pone.0148888,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Metabolomics Reveals Dynamic Metabolic Changes Associated with Age in Early Childhood.,26914934,"Chiu CY, Yeh KW, Lin G, Chiang MH, Yang SC, Chao WJ, Yao TC, Tsai MH, Hua MC, Liao SL, Lai SH, Cheng ML, Huang JL",2016,PMC4767415,10.1371/journal.pone.0149823,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,1,
Different Statistical Approaches to Investigate Porcine Muscle Metabolome Profiles to Highlight New Biomarkers for Pork Quality Assessment.,26919205,"Welzenbach J, Neuhoff C, Looft C, Schellander K, Tholen E, Groe-Brinkhaus C",2016,PMC4769069,10.1371/journal.pone.0149758,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Can Urine Metabolomics Be Helpful in Differentiating Neuropathic and Nociceptive Pain? A Proof-of-Concept Study.,26934501,"Finco G, Locci E, Mura P, Massa R, Noto A, Musu M, Landoni G, d'Aloja E, De-Giorgio F, Scano P, Evangelista M",2016,PMC4775074,10.1371/journal.pone.0150476,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,1,
Spatio-Temporal Metabolite Profiling of the Barley Germination Process by MALDI MS Imaging.,26938880,"Gorzolka K, Kolling J, Nattkemper TW, Niehaus K",2016,PMC4777520,10.1371/journal.pone.0150208,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Altering the Mitochondrial Fatty Acid Synthesis (mtFASII) Pathway Modulates Cellular Metabolic States and Bioactive Lipid Profiles as Revealed by Metabolomic Profiling.,26963735,"Clay HB, Parl AK, Mitchell SL, Singh L, Bell LN, Murdock DG",2016,PMC4786287,10.1371/journal.pone.0151171,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Metabolomics of Human Amniotic Fluid and Maternal Plasma during Normal Pregnancy.,27070784,"Orczyk-Pawilowicz M, Jawien E, Deja S, Hirnle L, Zabek A, Mlynarz P",2016,PMC4829258,10.1371/journal.pone.0152740,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,1,
Oxidative Stress and Metabolic Perturbations in Wooden Breast Disorder in Chickens.,27097013,"Abasht B, Mutryn MF, Michalek RD, Lee WR",2016,PMC4838225,10.1371/journal.pone.0153750,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Metabolic Profiling as Well as Stable Isotope Assisted Metabolic and Proteomic Analysis of RAW 264.7 Macrophages Exposed to Ship Engine Aerosol Emissions: Different Effects of Heavy Fuel Oil and Refined Diesel Fuel.,27348622,"Sapcariu SC, Kanashova T, Dilger M, Diabate S, Oeder S, Passig J, Radischat C, Buters J, Sippula O, Streibel T, Paur HR, Schlager C, Môlhopt S, Stengel B, Rabe R, Harndorf H, Krebs T, Karg E, Groger T, Weiss C, Dittmar G, Hiller K, Zimmermann R",2016,PMC4922672,10.1371/journal.pone.0157964,"The metabolomics and LDH data from this study are contained in the supporting information. The proteomics data is uploaded onto Proteomics DB: https://www.proteomicsdb.org/#projects/4242, with the ID: PRDB004242.",1,1,A,2,0,,,,0,
L-Tryptophan Production in Escherichia coli Improved by Weakening the Pta-AckA Pathway.,27348810,"Liu L, Duan X, Wu J",2016,PMC4922666,10.1371/journal.pone.0158200,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Age-Related 1H NMR Characterization of Cerebrospinal Fluid in Newborn and Young Healthy Piglets.,27391145,"Ventrella D, Laghi L, Barone F, Elmi A, Romagnoli N, Bacci ML",2016,PMC4938496,10.1371/journal.pone.0157623,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Changes in the Metabolome in Response to Low-Dose Exposure to Environmental Chemicals Used in Personal Care Products during Different Windows of Susceptibility.,27467775,"Houten SM, Chen J, Belpoggi F, Manservisi F, Sanchez-Guijo A, Wudy SA, Teitelbaum SL",2016,PMC4965097,10.1371/journal.pone.0159919,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
"Nuclear Magnetic Resonance Metabolomic Profiling of Mouse Kidney, Urine and Serum Following Renal Ischemia/Reperfusion Injury.",27657885,"Jouret F, Leenders J, Poma L, Defraigne JO, Krzesinski JM, de Tullio P",2016,PMC5033333,10.1371/journal.pone.0163021,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
"Metabolome Analysis Reveals Betaine Lipids as Major Source for Triglyceride Formation, and the Accumulation of Sedoheptulose during Nitrogen-Starvation of Phaeodactylum tricornutum.",27736949,"Popko J, Herrfurth C, Feussner K, Ischebeck T, Iven T, Haslam R, Hamilton M, Sayanova O, Napier J, Khozin-Goldberg I, Feussner I",2016,PMC5063337,10.1371/journal.pone.0164673,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Metabolite and Lipid Profiling of Biobank Plasma Samples Collected Prior to Onset of Rheumatoid Arthritis.,27755546,"Surowiec I, Arlestig L, Rantapaa-Dahlqvist S, Trygg J",2016,PMC5068821,10.1371/journal.pone.0164196,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,1,
Mass Spectrometry Based Metabolomics Comparison of Liver Grafts from Donors after Circulatory Death (DCD) and Donors after Brain Death (DBD) Used in Human Orthotopic Liver Transplantation.,27835640,"Hrydziuszko O, Perera MT, Laing R, Kirwan J, Silva MA, Richards DA, Murphy N, Mirza DF, Viant MR",2016,PMC5105997,10.1371/journal.pone.0165884,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,1,
Contribution towards a Metabolite Profile of the Detoxification of Benzoic Acid through Glycine Conjugation: An Intervention Study.,27907139,"Irwin C, van Reenen M, Mason S, Mienie LJ, Westerhuis JA, Reinecke CJ",2016,PMC5132330,10.1371/journal.pone.0167309,All relevant data are provided within the manuscript and the Supporting Information file S2 File (CI_unscaled raw vehicle data.xlsx).,1,1,A,2,0,,,,1,
"Metabolic Profiling Reveals Effects of Age, Sexual Development and Neutering in Plasma of Young Male Cats.",27942045,"Allaway D, Gilham MS, Colyer A, Jonsson TJ, Swanson KS, Morris PJ",2016,PMC5152928,10.1371/journal.pone.0168144,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
"Metabox: A Toolbox for Metabolomic Data Analysis, Interpretation and Integrative Exploration.",28141874,"Wanichthanarak K, Fan S, Grapov D, Barupal DK, Fiehn O",2017,PMC5283729,10.1371/journal.pone.0171046,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,1,
Longitudinal analysis of hepatic transcriptome and serum metabolome demonstrates altered lipid metabolism following the onset of hyperglycemia in spontaneously diabetic biobreeding rats.,28192442,"Regnell SE, Hessner MJ, Jia S, Åkesson L, Stenlund H, Moritz T, La Torre D, Lernmark Å",2017,PMC5305198,10.1371/journal.pone.0171372,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Impact of a cafeteria diet and daily physical training on the rat serum metabolome.,28192465,"Suarez-Garcia S, Del Bas JM, Caimari A, Escorihuela RM, Arola L, Suarez M",2017,PMC5305073,10.1371/journal.pone.0171970,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Metabolomic mechanisms of gypenoside against liver fibrosis in rats: An integrative analysis of proteomics and metabolomics data.,28291813,"Song YN, Dong S, Wei B, Liu P, Zhang YY, Su SB",2017,PMC5349658,10.1371/journal.pone.0173598,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Plasma amino acids and metabolic profiling of dairy cows in response to a bolus duodenal infusion of leucine.,28453535,"Sadri H, von Soosten D, Meyer U, Kluess J, Danicke S, Saremi B, Sauerwein H",2017,PMC5409510,10.1371/journal.pone.0176647,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Metabolomic profiling of ascending thoracic aortic aneurysms and dissections - Implications for pathophysiology and biomarker discovery.,28467501,"Doppler C, Arnhard K, Dumfarth J, Heinz K, Messner B, Stern C, Koal T, Klavins K, Danzl K, Pitterl F, Grimm M, Oberacher H, Bernhard D",2017,PMC5415060,10.1371/journal.pone.0176727,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,1,
Metabolites contributing to Rhizoctonia solani AG-1-IA maturation and sclerotial differentiation revealed by UPLC-QTOF-MS metabolomics.,28489938,"Hu W, Pan X, Abbas HMK, Li F, Dong W",2017,PMC5425210,10.1371/journal.pone.0177464,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Effect of acute ozone exposure on the lung metabolomes of obese and lean mice.,28704544,"Mathews JA, Kasahara DI, Cho Y, Bell LN, Gunst PR, Karoly ED, Shore SA",2017,PMC5509247,10.1371/journal.pone.0181017,All relevant data are within the paper and its supporting information files.,1,1,A,2,0,,,,0,
Differential metabolic profiles associated to movement behaviour of stream-resident brown trout (Salmo trutta).,28750027,"Oromi N, Jove M, Pascual-Pons M, Royo JL, Rocaspana R, Aparicio E, Pamplona R, Palau A, Sanuy D, Fibla J, Portero-Otin M",2017,PMC5531495,10.1371/journal.pone.0181697,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Metabolomics reveals that vine tea (Ampelopsis grossedentata) prevents high-fat-diet-induced metabolism disorder by improving glucose homeostasis in rats.,28813453,"Wan W, Jiang B, Sun L, Xu L, Xiao P",2017,PMC5558946,10.1371/journal.pone.0182830,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Metabolite patterns predicting sex and age in participants of the Karlsruhe Metabolomics and Nutrition (KarMeN) study.,28813537,"Rist MJ, Roth A, Frommherz L, Weinert CH, Krôger R, Merz B, Bunzel D, Mack C, Egert B, Bub A, Gorling B, Tzvetkova P, Luy B, Hoffmann I, Kulling SE, Watzl B",2017,PMC5558977,10.1371/journal.pone.0183228,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,1,
Metabolomic fingerprint of heart failure with preserved ejection fraction.,26010610,"Zordoky BN, Sung MM, Ezekowitz J, Mandal R, Han B, Bjorndahl TC, Bouatra S, Anderson T, Oudit GY, Wishart DS, Dyck JR",2015,PMC4444296,10.1371/journal.pone.0124844,All relevant data are within the paper and its Supporting Information files.,1,1,A,3,0,,,,1,
Integrative Metabolic Signatures for Hepatic Radiation Injury.,26046990,"Kurland IJ, Broin PÓ, Golden A, Su G, Meng F, Liu L, Mohney R, Kulkarni S, Guha C",2015,PMC4457483,10.1371/journal.pone.0124795,All relevant data are within the paper and its Supporting Information files.,1,1,A,3,0,,,,0,
"Metabolomics Suggests That Soil Inoculation with Arbuscular Mycorrhizal Fungi Decreased Free Amino Acid Content in Roots of Durum Wheat Grown under N-Limited, P-Rich Field Conditions.",26067663,"Saia S, Ruisi P, Fileccia V, Di Miceli G, Amato G, Martinelli F",2015,PMC4466249,10.1371/journal.pone.0129591,All relevant data are within the paper and its Supporting Information files.,1,1,A,3,0,,,,0,
Alcohol induced alterations to the human fecal VOC metabolome.,25751150,"Couch RD, Dailey A, Zaidi F, Navarro K, Forsyth CB, Mutlu E, Engen PA, Keshavarzian A",2015,PMC4353727,10.1371/journal.pone.0119362,All relevant data are within the paper and its Supporting Information files.,1,1,A,3,0,,,,1,
Modifying effects of vitamin E on chlorpyrifos toxicity in atlantic salmon.,25774794,"Olsvik PA, Berntssen MH, Softeland L",2015,PMC4361336,10.1371/journal.pone.0119250,All relevant data are within the paper and its Supporting Information files.,1,1,A,3,0,,,,0,
"Metabolite responses to exogenous application of nitrogen, cytokinin, and ethylene inhibitors in relation to heat-induced senescence in creeping bentgrass.",25822363,"Jespersen D, Yu J, Huang B",2015,PMC4379107,10.1371/journal.pone.0123744,All relevant data are within the paper and its Supporting Information files.,1,1,A,3,0,,,,0,
Pre-analytical sample quality: metabolite ratios as an intrinsic marker for prolonged room temperature exposure of serum samples.,25823017,"Anton G, Wilson R, Yu ZH, Prehn C, Zukunft S, Adamski J, Heier M, Meisinger C, Romisch-Margl W, Wang-Sattler R, Hveem K, Wolfenbuttel B, Peters A, Kastenmuller G, Waldenberger M",2015,PMC4379062,10.1371/journal.pone.0121495,All relevant data are within the paper and its Supporting Information files.,1,1,A,3,0,,,,1,
Metabolomic method: UPLC-q-ToF polar and non-polar metabolites in the healthy rat cerebellum using an in-vial dual extraction.,25853858,"Ebshiana AA, Snowden SG, Thambisetty M, Parsons R, Hye A, Legido-Quigley C",2015,PMC4390242,10.1371/journal.pone.0122883,All relevant data are within the paper and its Supporting Information files.,1,1,A,3,0,,,,0,
Altered plasma lysophosphatidylcholines and amides in non-obese and non-diabetic subjects with borderline-to-moderate hypertriglyceridemia: a case-control study.,25856314,"Lee SY, Kim M, Jung S, Lee SH, Lee JH",2015,PMC4391846,10.1371/journal.pone.0123306,All relevant data are within the paper and its Supporting Information file.,1,1,A,3,0,,,,1,
Free radical scavenging activity and comparative metabolic profiling of in vitro cultured and field grown Withania somnifera roots.,25874568,"Senthil K, Thirugnanasambantham P, Oh TJ, Kim SH, Choi HK",2015,PMC4397045,10.1371/journal.pone.0123360,All relevant data are within the paper and its Supporting Information files.,1,1,A,3,0,,,,0,
Prenatal and postnatal exposure to phthalate esters and asthma: a 9-year follow-up study of a taiwanese birth cohort.,25875379,"Ku HY, Su PH, Wen HJ, Sun HL, Wang CJ, Chen HY, Jaakkola JJ, Wang SL",2015,PMC4395154,10.1371/journal.pone.0123309,All relevant data are within the paper and its Supporting Information files.,1,1,A,3,0,,,,1,
A metabolomic study of rats with doxorubicin-induced cardiomyopathy and Shengmai injection treatment.,25938766,"Chen Y, Tang Y, Zhang YC, Huang XH, Xie YQ, Xiang Y",2015,PMC4418690,10.1371/journal.pone.0125209,All relevant data are within the paper and its Supporting Information files.,1,1,A,3,0,,,,0,
Isolation of Vaginal Lactobacilli and Characterization of Anti-Candida Activity.,26098675,"Parolin C, Marangoni A, Laghi L, Foschi C, Nahui Palomino RA, Calonghi N, Cevenini R, Vitali B",2015,PMC4476673,10.1371/journal.pone.0131220,All relevant data are within the paper and its Supporting Information files.,1,1,A,3,0,,,,1,
Metabolic Profiles in Ovine Carotid Arteries with Developmental Maturation and Long-Term Hypoxia.,26110419,"Goyal R, Longo LD",2015,PMC4482414,10.1371/journal.pone.0130739,All relevant data are within the paper and its Supporting Information files.,1,1,A,3,0,,,,0,
Metabolomic Analysis of the Skeletal Muscle of Mice Overexpressing PGC-1alpha.,26114427,"Hatazawa Y, Senoo N, Tadaishi M, Ogawa Y, Ezaki O, Kamei Y, Miura S",2015,PMC4482640,10.1371/journal.pone.0129084,All relevant data are within the paper and its Supporting Information files.,1,1,A,3,0,,,,0,
Energy Metabolism Disorder as a Contributing Factor of Rheumatoid Arthritis: A Comparative Proteomic and Metabolomic Study.,26147000,"Yang XY, Zheng KD, Lin K, Zheng G, Zou H, Wang JM, Lin YY, Chuka CM, Ge RS, Zhai W, Wang JG",2015,PMC4492520,10.1371/journal.pone.0132695,All relevant data are within the paper and its Supporting Information files.,1,1,A,3,0,,,,1,
Gene Transcriptional and Metabolic Profile Changes in Mimetic Aging Mice Induced by D-Galactose.,26176541,"Zhou YY, Ji XF, Fu JP, Zhu XJ, Li RH, Mu CK, Wang CL, Song WW",2015,PMC4503422,10.1371/journal.pone.0132088,All relevant data are within the paper and its Supporting Information files.,1,1,A,3,0,,,,0,
Roflumilast Prevents the Metabolic Effects of Bleomycin-Induced Fibrosis in a Murine Model.,26192616,"Milara J, Morcillo E, Monleon D, Tenor H, Cortijo J",2015,PMC4507994,10.1371/journal.pone.0133453,All relevant data are within the paper and its Supporting Information files.,1,1,A,3,0,,,,0,
Moderate Perinatal Choline Deficiency Elicits Altered Physiology and Metabolomic Profiles in the Piglet.,26196148,"Getty CM, Dilger RN",2015,PMC4510435,10.1371/journal.pone.0133500,All relevant data are within the paper and its Supporting Information files.,1,1,A,3,0,,,,0,
"Inferring Phytoplankton, Terrestrial Plant and Bacteria Bulk delta13C Values from Compound Specific Analyses of Lipids and Fatty Acids.",26208114,"Taipale SJ, Peltomaa E, Hiltunen M, Jones RI, Hahn MW, Biasi C, Brett MT",2015,PMC4514774,10.1371/journal.pone.0133974,All relevant data are within the paper and its Supporting Information files.,1,1,A,3,0,,,,0,
Alteration in metabolic signature and lipid metabolism in patients with angina pectoris and myocardial infarction.,26258408,"Park JY, Lee SH, Shin MJ, Hwang GS",2015,PMC4530944,10.1371/journal.pone.0135228,All relevant data are within the paper and its Supporting Information files.,1,1,A,3,0,,,,1,
Analytical Bias in the Measurement of Serum 25-Hydroxyvitamin D Concentrations Impairs Assessment of Vitamin D Status in Clinical and Research Settings.,26266807,"Black LJ, Anderson D, Clarke MW, Ponsonby AL, Lucas RM",2015,PMC4534132,10.1371/journal.pone.0135478,All relevant data are within the paper and its Supporting Information files.,1,1,A,3,0,,,,1,
Metabolomics Reveals Metabolically Healthy and Unhealthy Obese Individuals Differ in their Response to a Caloric Challenge.,26274804,"Badoud F, Lam KP, Perreault M, Zulyniak MA, Britz-McKibbin P, Mutch DM",2015,PMC4537251,10.1371/journal.pone.0134613,All relevant data are within the paper and its Supporting Information files.,1,1,A,3,0,,,,1,
"Exploratory Metabolomic Analyses Reveal Compounds Correlated with Lutein Concentration in Frontal Cortex, Hippocampus, and Occipital Cortex of Human Infant Brain.",26317757,"Lieblein-Boff JC, Johnson EJ, Kennedy AD, Lai CS, Kuchan MJ",2015,PMC4552625,10.1371/journal.pone.0136904,All relevant data are within the paper and its Supporting Information files.,1,1,A,3,0,,,,1,
An Enlarged Profile of Uremic Solutes.,26317986,"Tanaka H, Sirich TL, Plummer NS, Weaver DS, Meyer TW",2015,PMC4552739,10.1371/journal.pone.0135657,All relevant data are within the paper and its Supporting Information Files.,1,1,A,3,0,,,,1,
An Optimized Method of Metabolite Extraction from Formalin-Fixed Paraffin-Embedded Tissue for GC/MS Analysis.,26348873,"Wojakowska A, Marczak L, Jelonek K, Polanski K, Widlak P, Pietrowska M",2015,PMC4562636,10.1371/journal.pone.0136902,All relevant data are within the paper and its Supporting Information files.,1,1,A,3,0,,,,0,
Metabolomic Analyses of Leishmania Reveal Multiple Species Differences and Large Differences in Amino Acid Metabolism.,26368322,"Westrop GD, Williams RA, Wang L, Zhang T, Watson DG, Silva AM, Coombs GH",2015,PMC4569581,10.1371/journal.pone.0136891,All relevant data are within the paper and its Supporting Information files.,1,1,A,3,0,,,,0,
Chronic Arachidonic Acid Administration Decreases Docosahexaenoic Acid- and Eicosapentaenoic Acid-Derived Metabolites in Kidneys of Aged Rats.,26485038,"Katakura M, Hashimoto M, Inoue T, Mamun AA, Tanabe Y, Arita M, Shido O",2015,PMC4618288,10.1371/journal.pone.0140884,All relevant data are within the paper and its Supporting Information files.,1,1,A,3,0,,,,0,
